MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME	FRAGMENT_LENGTH
110	92	17	85	221	118.388235	26.638271	85	FR	5	11	23	29	35	39	51	63	91	111	223	NA	20-302-04882-GER2106988	85
112	92	16	90	221	119.938272	26.33028	81	FR	7	13	23	29	33	41	49	61	87	107	219	NA	20-302-04882-GER2106988	90
119	96	18	95	221	125.323529	25.380355	68	FR	9	15	23	27	37	45	47	61	87	101	205	NA	20-302-04882-GER2106988	95
69	26	27	19	409	77.288403	46.169853	4307	FR	11	19	31	43	55	67	83	89	123	203	347	NA	21-011-00959-GER2110422	0
79	62	21	37	409	87.910977	41.511269	3490	FR	11	21	27	35	43	55	67	81	125	213	339	NA	21-011-00959-GER2110422	37
79	62	21	38	409	88.384705	41.411048	3458	FR	11	21	27	35	43	55	65	79	129	215	339	NA	21-011-00959-GER2110422	38
80	62	21	40	409	89.601728	41.165928	3376	FR	11	19	27	35	43	53	65	77	129	215	341	NA	21-011-00959-GER2110422	40
86	62	21	50	409	95.043927	40.625757	3022	FR	9	17	25	33	43	51	59	71	133	211	351	NA	21-011-00959-GER2110422	50
91	62	20	60	409	100.985851	40.020894	2633	FR	7	15	23	31	41	49	57	63	135	221	355	NA	21-011-00959-GER2110422	60
94	92	18	65	409	105.830943	38.994388	2324	FR	7	13	21	29	37	45	53	63	145	225	353	NA	21-011-00959-GER2110422	65
97	92	18	70	409	109.58373	39.014653	2124	FR	7	13	19	29	37	43	51	69	149	229	369	NA	21-011-00959-GER2110422	70
101	92	17	75	409	113.744174	38.764227	1911	FR	7	15	21	27	35	41	49	71	159	227	365	NA	21-011-00959-GER2110422	75
104	92	15	80	409	117.310489	37.313026	1710	FR	7	15	21	27	31	39	47	79	165	229	377	NA	21-011-00959-GER2110422	80
108	92	16	85	409	121.573856	38.49847	1555	FR	9	15	23	27	33	39	45	85	163	229	383	NA	21-011-00959-GER2110422	85
113	92	17	90	409	126.554252	39.962207	1383	FR	9	15	23	29	35	41	47	85	169	227	381	NA	21-011-00959-GER2110422	90
119	96	18	95	409	133.987741	41.413096	1157	FR	7	13	23	31	37	43	49	95	177	225	379	NA	21-011-00959-GER2110422	95
92	26	34	20	519	102.484605	63.494995	4620	FR	13	27	41	55	69	89	109	131	199	277	511	NA	21-011-00915-GER2213108	0
97	93	32	37	519	110.51809	60.763575	4158	FR	11	23	37	51	65	79	99	117	205	281	513	NA	21-011-00915-GER2213108	37
98	93	32	38	519	111.4337	60.580839	4107	FR	11	23	35	51	65	79	97	117	203	281	511	NA	21-011-00915-GER2213108	38
99	93	31	40	519	112.421918	59.400265	4032	FR	13	23	35	49	63	77	95	115	205	281	517	NA	21-011-00915-GER2213108	40
104	93	30	50	519	117.939648	57.522839	3716	FR	13	23	33	45	61	75	89	107	201	277	511	NA	21-011-00915-GER2213108	50
108	93	27	60	519	123.333726	56.394203	3418	FR	11	21	33	43	55	71	85	105	201	283	507	NA	21-011-00915-GER2213108	60
111	93	26	65	519	126.605985	55.504192	3234	FR	11	23	33	41	53	69	83	107	201	281	505	NA	21-011-00915-GER2213108	65
114	93	25	70	519	130.243406	54.084701	3027	FR	11	21	31	41	51	65	79	109	205	281	507	NA	21-011-00915-GER2213108	70
116	93	25	75	519	133.212259	53.948733	2886	FR	11	19	33	41	51	63	77	109	205	283	503	NA	21-011-00915-GER2213108	75
119	93	26	80	519	137.319378	55.116376	2722	FR	11	21	31	41	53	61	73	113	207	283	497	NA	21-011-00915-GER2213108	80
122	93	26	85	519	140.561938	55.420829	2580	FR	11	21	29	43	53	61	71	113	207	281	507	NA	21-011-00915-GER2213108	85
125	93	26	90	519	144.183146	55.423527	2418	FR	11	21	31	41	53	61	71	121	205	283	503	NA	21-011-00915-GER2213108	90
130	99	25	95	519	150.049188	55.458579	2176	FR	11	21	33	41	51	63	71	133	205	283	501	NA	21-011-00915-GER2213108	95
93	95	29	19	773	98.190982	47.731654	25041	FR	11	23	35	47	59	73	87	105	133	193	347	NA	21-012-00927-GER2106764	0
94	95	28	37	773	100.707699	46.59322	24145	FR	11	23	33	45	57	71	83	101	121	199	347	NA	21-012-00927-GER2106764	37
95	95	28	38	773	101.076981	46.474176	24006	FR	11	23	33	45	57	69	83	101	121	197	345	NA	21-012-00927-GER2106764	38
95	95	28	40	773	102.335389	46.076217	23533	FR	9	21	33	43	57	69	81	97	121	201	347	NA	21-012-00927-GER2106764	40
99	95	26	50	773	106.797511	44.359797	21816	FR	11	21	29	41	53	65	77	91	119	201	345	NA	21-012-00927-GER2106764	50
104	95	23	60	773	112.437957	42.43666	19629	FR	11	19	27	37	47	59	71	83	115	205	341	NA	21-012-00927-GER2106764	60
107	95	22	65	773	115.317214	41.516182	18531	FR	9	19	27	35	45	55	69	81	115	207	341	NA	21-012-00927-GER2106764	65
110	95	21	70	773	118.463464	40.707278	17369	FR	9	17	27	33	43	53	63	77	115	209	341	NA	21-012-00927-GER2106764	70
112	95	20	75	773	121.214466	39.877396	16356	FR	7	17	25	35	41	51	61	73	117	209	341	NA	21-012-00927-GER2106764	75
114	95	20	80	773	123.855591	39.643672	15452	FR	7	15	25	33	41	49	59	69	119	209	343	NA	21-012-00927-GER2106764	80
116	95	19	85	773	126.871024	38.964981	14366	FR	9	15	23	31	39	47	55	67	123	213	341	NA	21-012-00927-GER2106764	85
119	95	19	90	773	130.128783	38.874626	13304	FR	9	15	21	29	39	47	53	65	129	213	345	NA	21-012-00927-GER2106764	90
123	95	17	95	773	133.601862	37.722242	12047	FR	9	15	23	29	35	45	53	65	141	213	347	NA	21-012-00927-GER2106764	95
58	26	31	20	265	68.398213	44.730753	1007	FR	17	29	43	55	63	65	73	95	153	185	309	NA	19-280-01342-GER2110264	0
83	38	27	37	265	90.216339	40.680128	661	FR	11	23	33	45	55	67	79	91	127	153	295	NA	19-280-01342-GER2110264	37
84	38	26	38	265	90.95092	40.472942	652	FR	9	23	33	43	53	69	79	91	125	153	293	NA	19-280-01342-GER2110264	38
85	61	25	40	265	93.394864	39.74818	623	FR	9	21	33	41	51	63	77	89	123	155	291	NA	19-280-01342-GER2110264	40
90	61	24	50	265	99.168761	38.097615	557	FR	11	19	31	41	49	59	71	81	119	155	283	NA	19-280-01342-GER2110264	50
97	61	24	60	265	104.973631	36.676975	493	FR	9	19	27	37	49	57	67	77	107	145	271	NA	19-280-01342-GER2110264	60
101	69	22	65	265	108.709251	35.834166	454	FR	9	19	27	37	45	57	65	73	101	143	263	NA	19-280-01342-GER2110264	65
104	88	21	70	265	112.825666	34.979517	413	FR	11	19	29	37	43	51	63	71	99	141	257	NA	19-280-01342-GER2110264	70
109	88	21	75	265	116.511873	34.175423	379	FR	9	19	27	39	43	51	59	69	93	145	261	NA	19-280-01342-GER2110264	75
111	88	21	80	265	119.064607	33.701152	356	FR	9	19	27	35	43	51	57	67	95	145	257	NA	19-280-01342-GER2110264	80
116	88	21	85	265	123.326019	33.051898	319	FR	11	17	27	35	43	49	57	63	93	141	247	NA	19-280-01342-GER2110264	85
121	94	20	90	265	127.673684	32.326713	285	FR	11	17	25	33	41	47	55	61	87	135	257	NA	19-280-01342-GER2110264	90
126	101	19	95	265	131.544747	31.715639	257	FR	9	17	27	31	39	47	51	59	87	155	247	NA	19-280-01342-GER2110264	95
30	26	6	19	253	33.851504	15.185809	613	FR	3	7	9	9	13	13	23	69	139	211	393	NA	20-013-04226-GER2110511	0
78	39	28	37	253	89.734694	48.080392	196	FR	13	25	35	43	57	69	77	91	139	269	329	NA	20-013-04226-GER2110511	37
79	39	27.5	39	253	90.278351	48.026707	194	FR	13	25	33	43	55	69	77	93	137	267	327	NA	20-013-04226-GER2110511	38
81	41	27	40	253	92.197861	47.861341	187	FR	13	23	31	43	55	71	79	91	145	263	323	NA	20-013-04226-GER2110511	40
92	50	27.5	50	253	102.701299	46.414181	154	FR	7	19	29	43	55	63	73	87	135	265	301	NA	20-013-04226-GER2110511	50
95.5	92	24.5	60	253	109.947761	45.488711	134	FR	7	15	27	39	49	59	67	89	161	263	295	NA	20-013-04226-GER2110511	60
100	92	23	66	253	115.082645	44.934691	121	FR	9	17	25	39	47	57	65	85	159	253	285	NA	20-013-04226-GER2110511	65
102	92	21	70	253	118.433628	44.630202	113	FR	11	17	23	39	43	55	65	85	157	255	281	NA	20-013-04226-GER2110511	70
106	92	21.5	75	253	122.480769	44.250606	104	FR	11	21	29	33	43	51	63	81	169	247	273	NA	20-013-04226-GER2110511	75
112.5	92	21.5	81	253	126.302083	43.942814	96	FR	17	23	31	37	43	53	61	71	201	237	283	NA	20-013-04226-GER2110511	80
120	92	24	85	253	130.885057	43.661069	87	FR	11	25	35	39	49	53	59	75	189	221	267	NA	20-013-04226-GER2110511	85
121	92	24.5	90	253	132.452381	43.623362	84	FR	11	27	37	39	49	53	59	73	187	219	265	NA	20-013-04226-GER2110511	90
127	95	24	95	253	139.901408	43.502103	71	FR	9	17	25	39	49	55	63	79	195	211	253	NA	20-013-04226-GER2110511	95
26	26	2	19	138	27.047393	4.029372	232	FR	1	1	3	3	5	5	7	13	29	117	169	NA	21-063-02905-GER2110363	0
81	37	22.5	37	138	74.4	29.530347	30	FR	3	7	33	41	45	59	71	83	89	89	115	NA	21-063-02905-GER2110363	37
82.5	40	19	38	138	80.153846	27.446956	26	FR	3	5	31	37	39	47	65	73	85	89	113	NA	21-063-02905-GER2110363	38
83	40	18	40	138	81.84	26.60307	25	FR	3	5	29	35	37	43	61	73	87	87	111	NA	21-063-02905-GER2110363	40
96.5	81	13.5	53	138	91.6	19.752148	20	FR	3	9	11	17	27	29	31	37	75	85	87	NA	21-063-02905-GER2110363	50
98.5	81	13	66	138	95.555556	16.41098	18	FR	5	5	7	13	25	31	33	35	65	81	81	NA	21-063-02905-GER2110363	60
98.5	81	13	66	138	95.555556	16.41098	18	FR	5	5	7	13	25	31	33	35	65	81	81	NA	21-063-02905-GER2110363	65
100	81	10	80	138	97.294118	15.111108	17	FR	1	3	7	9	21	33	35	39	41	77	77	NA	21-063-02905-GER2110363	70
100	81	10	80	138	97.294118	15.111108	17	FR	1	3	7	9	21	33	35	39	41	77	77	NA	21-063-02905-GER2110363	75
100	81	10	80	138	97.294118	15.111108	17	FR	1	3	7	9	21	33	35	39	41	77	77	NA	21-063-02905-GER2110363	80
101	100	3	96	138	102.5	5.582711	11	FR	1	3	3	3	7	9	11	19	27	75	75	NA	21-063-02905-GER2110363	85
101	100	3	96	138	102.5	5.582711	11	FR	1	3	3	3	7	9	11	19	27	75	75	NA	21-063-02905-GER2110363	90
101	100	3	96	138	102.5	5.582711	11	FR	1	3	3	3	7	9	11	19	27	75	75	NA	21-063-02905-GER2110363	95
27	26	3	20	165	27.391111	4.933297	258	FR	1	3	3	5	7	7	9	15	97	169	265	NA	19-144-03573-GER2110263	0
81	38	29.5	37	165	88.818182	40.453978	44	FR	13	35	41	45	59	79	85	109	153	157	169	NA	19-144-03573-GER2110263	37
84	38	27	38	165	90.023256	40.125688	43	FR	17	29	43	47	55	77	91	103	147	151	163	NA	19-144-03573-GER2110263	38
93	61	30	41	165	96.815789	37.684218	38	FR	13	21	35	55	61	65	85	99	133	133	145	NA	19-144-03573-GER2110263	40
98	61	35	55	165	101.371429	35.698975	35	FR	11	23	29	45	71	75	81	87	123	123	135	NA	19-144-03573-GER2110263	50
101	61	25.5	61	165	105.5625	34.439229	32	FR	7	21	29	43	51	77	81	81	117	117	129	NA	19-144-03573-GER2110263	60
110.5	159	25.5	75	165	115.615385	30.164982	26	FR	5	21	25	39	51	63	69	83	99	99	111	NA	19-144-03573-GER2110263	65
110.5	159	25.5	75	165	115.615385	30.164982	26	FR	5	21	25	39	51	63	69	83	99	99	111	NA	19-144-03573-GER2110263	70
110.5	159	25.5	75	165	115.615385	30.164982	26	FR	5	21	25	39	51	63	69	83	99	99	111	NA	19-144-03573-GER2110263	75
116	159	22.5	84	165	122.772727	27.09583	22	FR	11	13	27	37	43	51	65	83	87	87	99	NA	19-144-03573-GER2110263	80
120	159	21	87	165	124.619048	26.308699	21	FR	17	21	35	41	43	51	63	75	79	79	91	NA	19-144-03573-GER2110263	85
121	159	21	91	165	126.5	25.502322	20	FR	3	21	29	37	41	47	61	73	77	77	89	NA	19-144-03573-GER2110263	90
122	159	19	95	165	128.368421	24.754821	19	FR	5	23	27	39	39	49	59	75	75	87	87	NA	19-144-03573-GER2110263	95
27	26	2	19	231	27.472	3.745035	395	FR	1	3	3	3	5	7	9	9	15	43	239	NA	21-025-06760-GER2110236	0
60	37	19	37	231	76.133333	49.361952	30	FR	3	7	23	25	37	43	47	109	173	247	343	NA	21-025-06760-GER2110236	37
61.5	40	17.5	39	231	82.153846	50.435458	26	FR	3	7	21	27	33	43	53	111	211	245	341	NA	21-025-06760-GER2110236	38
62	40	17	40	231	83.88	50.685567	25	FR	3	5	19	25	35	41	51	109	209	243	339	NA	21-025-06760-GER2110236	40
71.5	60	14.5	50	231	91.764706	41.527896	18	FR	3	17	21	23	27	43	91	151	225	321	321	NA	21-025-06760-GER2110236	50
79.5	60	19.5	60	231	105.1875	52.416561	16	FR	17	19	33	37	39	71	85	135	209	305	305	NA	21-025-06760-GER2110236	60
116	70	44	70	231	125.181818	52.089957	11	FR	5	11	59	61	89	91	93	101	135	231	231	NA	21-025-06760-GER2110236	65
116	70	44	70	231	125.181818	52.089957	11	FR	5	11	59	61	89	91	93	101	135	231	231	NA	21-025-06760-GER2110236	70
133.5	87	26	87	231	145.5	46.324939	8	FR	25	27	35	39	39	67	93	101	197	197	197	NA	21-025-06760-GER2110236	75
133.5	87	26	87	231	145.5	46.324939	8	FR	25	27	35	39	39	67	93	101	197	197	197	NA	21-025-06760-GER2110236	80
133.5	87	26	87	231	145.5	46.324939	8	FR	25	27	35	39	39	67	93	101	197	197	197	NA	21-025-06760-GER2110236	85
146	114	30	114	231	153.857143	43.032656	7	FR	1	41	51	51	61	65	65	75	171	171	171	NA	21-025-06760-GER2110236	90
146	114	30	114	231	153.857143	43.032656	7	FR	1	41	51	51	61	65	65	75	171	171	171	NA	21-025-06760-GER2110236	95
26	26	2	20	48	27.269841	3.587658	379	FR	1	1	3	3	5	5	9	11	13	17	29	NA	21-203-01116-GER2110516	0
40	40	1	39	48	41.6	3.646917	5	FR	1	1	1	1	3	3	3	3	17	17	17	NA	21-203-01116-GER2110516	37
40	40	1	39	48	41.6	3.646917	5	FR	1	1	1	1	3	3	3	3	17	17	17	NA	21-203-01116-GER2110516	38
40.5	40	0.5	40	48	40.333333	0.57735	4	FR	1	1	1	1	1	3	3	17	17	17	17	NA	21-203-01116-GER2110516	40
99	95	32	18	786	108.316866	56.067119	93564	FR	13	25	37	51	65	83	99	115	151	259	411	NA	20-127-02045-GER2106868	0
100	95	32	37	786	110.020069	55.530863	91507	FR	13	25	37	49	65	81	95	113	151	259	409	NA	20-127-02045-GER2106868	37
101	95	32	38	786	110.514812	55.391325	90892	FR	13	25	37	49	65	81	95	113	151	257	409	NA	20-127-02045-GER2106868	38
102	95	31	40	786	111.651932	54.904725	89410	FR	13	23	35	49	63	79	95	111	151	257	407	NA	20-127-02045-GER2106868	40
106	95	29	50	786	116.549743	53.188528	83183	FR	13	23	33	45	59	75	89	103	159	257	405	NA	20-127-02045-GER2106868	50
111	95	28	60	786	122.347352	51.792637	75984	FR	11	21	33	43	57	69	81	97	169	257	403	NA	20-127-02045-GER2106868	60
113	95	26	65	786	125.316684	50.777001	72232	FR	9	21	31	41	53	67	79	91	177	253	403	NA	20-127-02045-GER2106868	65
115	95	25	70	786	127.951566	49.942303	68931	FR	9	19	31	41	51	63	75	89	181	253	403	NA	20-127-02045-GER2106868	70
118	95	25	75	786	131.060977	49.659809	65404	FR	9	19	29	41	51	61	71	85	183	251	401	NA	20-127-02045-GER2106868	75
120	95	25	80	786	133.984373	49.402724	62090	FR	9	19	29	41	51	59	69	81	185	251	403	NA	20-127-02045-GER2106868	80
122	95	24	85	786	137.087669	48.777486	58451	FR	9	19	27	39	49	57	65	79	189	253	403	NA	20-127-02045-GER2106868	85
125	95	23	90	786	140.18788	48.16645	54863	FR	11	19	27	37	47	55	63	81	189	255	405	NA	20-127-02045-GER2106868	90
129	95	22	95	786	144.281888	47.791727	50482	FR	11	21	29	35	45	53	63	79	191	255	407	NA	20-127-02045-GER2106868	95
26	26	1	19	58	26.409091	2.976619	179	FR	1	1	3	3	3	5	5	7	13	17	23	NA	21-284-05296-GER2213023	0
37	37	0	37	58	37	0	3	FR	1	1	1	1	1	1	43	43	43	43	43	NA	21-284-05296-GER2213023	37
58	58	0	58	58	58	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-284-05296-GER2213023	38
58	58	0	58	58	58	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-284-05296-GER2213023	40
58	58	0	58	58	58	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	21-284-05296-GER2213023	50
26	26	2	20	112	27.08365	3.821474	265	FR	1	1	3	3	5	5	5	9	13	21	41	NA	19-284-03132-GER2107019	0
39	39	1.5	37	112	39.625	2.825269	10	FR	1	1	1	3	3	5	5	15	43	147	147	NA	19-284-03132-GER2107019	37
39	39	1	38	112	40	2.828427	9	FR	1	1	1	3	3	5	15	43	147	147	147	NA	19-284-03132-GER2107019	38
53	41	9.5	41	112	64.75	32.510255	4	FR	15	15	15	15	15	25	25	119	119	119	119	NA	19-284-03132-GER2107019	40
86	60	26	60	112	86	36.769553	2	FR	53	53	53	53	53	53	53	53	53	53	53	NA	19-284-03132-GER2107019	50
86	60	26	60	112	86	36.769553	2	FR	53	53	53	53	53	53	53	53	53	53	53	NA	19-284-03132-GER2107019	60
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	65
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	70
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	75
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	80
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	85
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	90
112	112	0	112	112	112	?	1	FR	1	1	1	1	1	1	1	1	1	1	1	NA	19-284-03132-GER2107019	95
26	26	2	19	144	26.890411	3.507335	1046	FR	1	1	3	3	5	5	9	11	13	17	115	NA	19-108-01251-GER2106771	0
60	37	21	37	144	66.871795	30.092121	39	FR	3	13	37	41	43	45	47	73	105	167	169	NA	19-108-01251-GER2106771	37
60.5	38	20.5	38	144	69.361111	30.004907	36	FR	3	13	35	39	41	43	47	73	105	167	169	NA	19-108-01251-GER2106771	38
66	40	23	40	144	74.354839	29.40697	31	FR	11	15	25	31	47	51	53	69	93	155	157	NA	19-108-01251-GER2106771	40
80.5	60	19.5	51	144	84.125	26.202078	24	FR	5	19	29	35	41	41	47	59	65	127	129	NA	19-108-01251-GER2106771	50
86	60	16.5	60	144	89.85	24.944728	20	FR	7	13	17	29	31	41	51	53	53	115	117	NA	19-108-01251-GER2106771	60
95	100	14.5	66	144	97.0625	22.590466	16	FR	3	11	13	25	29	35	35	49	97	99	99	NA	19-108-01251-GER2106771	65
96	100	15	71	144	99.133333	21.754693	15	FR	5	9	15	17	31	33	33	37	95	97	97	NA	19-108-01251-GER2106771	70
98	100	14	78	144	101.142857	21.081735	14	FR	5	5	13	19	29	31	35	41	91	93	93	NA	19-108-01251-GER2106771	75
100	100	12	80	144	102.923077	20.818508	13	FR	1	9	9	23	25	25	39	41	87	89	89	NA	19-108-01251-GER2106771	80
102	100	9	89	144	109.4	19.374668	10	FR	5	5	5	13	17	21	21	27	83	85	85	NA	19-108-01251-GER2106771	85
104	100	8	94	144	111.666667	19.091883	9	FR	1	9	9	17	17	17	21	79	81	81	81	NA	19-108-01251-GER2106771	90
108	100	8	96	144	113.875	19.141858	8	FR	9	9	9	17	17	17	25	71	73	73	73	NA	19-108-01251-GER2106771	95
96	95	30	14	757	102.642477	48.699668	208036	FR	11	25	35	49	61	75	89	107	123	193	369	NA	19-155-01353-GER2106811	0
97	95	29	37	757	103.69827	48.211626	204739	FR	11	25	35	47	59	73	89	105	121	193	369	NA	19-155-01353-GER2106811	37
97	95	29	38	757	104.164636	48.055071	203319	FR	11	25	35	47	59	73	87	105	123	195	369	NA	19-155-01353-GER2106811	38
98	95	29	40	757	105.237476	47.720004	200070	FR	11	23	35	47	59	73	87	103	121	195	369	NA	19-155-01353-GER2106811	40
103	95	27	50	757	109.983153	45.997643	185423	FR	13	21	33	43	55	67	83	95	117	201	363	NA	19-155-01353-GER2106811	50
108	95	25	60	757	115.554932	44.20798	168121	FR	11	21	29	39	51	63	75	87	115	205	363	NA	19-155-01353-GER2106811	60
110	95	24	65	757	118.33622	43.296447	159578	FR	9	19	29	37	49	59	73	83	115	207	363	NA	19-155-01353-GER2106811	65
112	95	23	70	757	120.958101	42.38316	151445	FR	9	19	27	37	47	57	69	81	113	209	363	NA	19-155-01353-GER2106811	70
115	95	22	75	757	123.972161	41.54024	142417	FR	9	17	27	37	45	55	67	75	113	209	365	NA	19-155-01353-GER2106811	75
118	95	22	80	757	126.778299	41.287673	134583	FR	9	17	25	35	45	53	63	73	113	209	363	NA	19-155-01353-GER2106811	80
120	95	21	85	757	129.869134	40.430851	125430	FR	9	17	23	33	43	51	59	69	117	211	361	NA	19-155-01353-GER2106811	85
122	95	20	90	757	132.514907	39.724741	117683	FR	7	15	23	31	41	51	57	65	123	215	363	NA	19-155-01353-GER2106811	90
125	95	19	95	757	136.042393	39.008444	107728	FR	9	15	23	31	39	47	55	61	129	219	365	NA	19-155-01353-GER2106811	95
27	26	3	20	398	27.598374	4.951195	719	FR	1	3	3	3	7	7	9	15	123	185	309	NA	19-191-00878-GER2110163	0
91	41	30	37	398	98.773437	45.702257	129	FR	7	17	33	51	61	75	99	113	161	185	315	NA	19-191-00878-GER2110163	37
91.5	41	28.5	40	398	100.256	45.218271	126	FR	7	17	33	51	57	75	97	113	161	185	315	NA	19-191-00878-GER2110163	38
91.5	41	28.5	40	398	100.256	45.218271	126	FR	7	17	33	51	57	75	97	113	161	185	315	NA	19-191-00878-GER2110163	40
96	61	25	51	398	108.045455	42.599777	111	FR	9	17	25	41	51	67	83	113	153	185	305	NA	19-191-00878-GER2110163	50
99	61	24	60	398	112.254902	41.376965	103	FR	11	17	25	35	49	65	77	113	153	179	299	NA	19-191-00878-GER2110163	60
105	85	21	65	398	117.73913	39.872288	93	FR	13	23	29	35	43	61	81	115	143	185	587	NA	19-191-00878-GER2110163	65
107	85	22	71	398	119.505618	39.334557	90	FR	9	21	27	37	45	57	75	111	139	181	583	NA	19-191-00878-GER2110163	70
110	85	22	75	398	122.345238	38.666163	85	FR	13	19	31	39	45	55	75	109	135	175	577	NA	19-191-00878-GER2110163	75
111	85	22	80	398	124.625	38.211064	81	FR	11	19	31	37	45	53	77	111	133	173	575	NA	19-191-00878-GER2110163	80
116	85	26	85	398	126.881579	37.875926	77	FR	11	23	35	45	53	59	71	103	131	165	565	NA	19-191-00878-GER2110163	85
119	119	25	90	398	132.939394	37.036314	67	FR	7	21	33	45	51	59	73	101	129	159	559	NA	19-191-00878-GER2110163	90
130	119	27	95	398	143.844828	49.113832	58	FR	23	29	39	47	55	65	71	85	117	185	537	NA	19-191-00878-GER2110163	95
26	26	2	20	151	27.032258	4.256509	197	FR	1	1	3	3	5	5	11	11	21	111	243	NA	19-247-00943-GER2107036	0
83	39	41	37	151	82.944444	41.061607	18	FR	5	33	73	79	83	85	89	91	129	137	137	NA	19-247-00943-GER2107036	37
85	39	39	38	151	85.647059	40.641637	17	FR	9	29	69	75	79	87	91	93	125	133	133	NA	19-247-00943-GER2107036	38
97	40	27.5	40	151	95.714286	37.608159	14	FR	5	25	45	51	55	67	101	109	111	115	115	NA	19-247-00943-GER2107036	40
119	64	24	64	151	110.181818	27.610933	11	FR	7	11	13	41	49	57	65	69	77	111	111	NA	19-247-00943-GER2107036	50
119	64	24	64	151	110.181818	27.610933	11	FR	7	11	13	41	49	57	65	69	77	111	111	NA	19-247-00943-GER2107036	60
120.5	81	23.5	81	151	114.8	24.215697	10	FR	3	5	9	11	43	51	55	63	71	79	79	NA	19-247-00943-GER2107036	65
120.5	81	23.5	81	151	114.8	24.215697	10	FR	3	5	9	11	43	51	55	63	71	79	79	NA	19-247-00943-GER2107036	70
120.5	81	23.5	81	151	114.8	24.215697	10	FR	3	5	9	11	43	51	55	63	71	79	79	NA	19-247-00943-GER2107036	75
120.5	81	23.5	81	151	114.8	24.215697	10	FR	3	5	9	11	43	51	55	63	71	79	79	NA	19-247-00943-GER2107036	80
122	85	23	85	151	118.555556	22.38365	9	FR	1	5	7	7	47	51	55	59	75	75	75	NA	19-247-00943-GER2107036	85
123	95	14	95	151	122.75	19.789969	8	FR	3	3	5	9	9	49	49	57	57	57	57	NA	19-247-00943-GER2107036	90
123	95	14	95	151	122.75	19.789969	8	FR	3	3	5	9	9	49	49	57	57	57	57	NA	19-247-00943-GER2107036	95
99	54	35	19	842	106.180204	55.238272	45800	FR	13	27	41	55	71	85	101	117	145	233	411	NA	18-365-01350-GER2106714	0
101	54	34	37	842	108.728089	54.147647	44273	FR	13	27	39	55	69	83	97	115	135	235	411	NA	18-365-01350-GER2106714	37
102	54	33	38	842	109.204065	53.936243	43968	FR	15	27	39	53	67	83	97	113	133	233	409	NA	18-365-01350-GER2106714	38
103	54	33	40	842	110.709086	53.50167	43053	FR	15	25	39	51	67	81	95	111	133	235	409	NA	18-365-01350-GER2106714	40
108	54	30	50	842	115.903696	51.565797	39855	FR	13	25	35	49	61	77	91	105	129	233	405	NA	18-365-01350-GER2106714	50
113	63	28	60	842	121.872086	49.392364	36172	FR	11	23	33	45	57	69	83	97	127	235	409	NA	18-365-01350-GER2106714	60
116	94	27	65	842	125.167531	48.50746	34265	FR	11	21	33	43	55	67	79	93	129	237	411	NA	18-365-01350-GER2106714	65
118	94	26	70	842	127.855221	47.702243	32710	FR	11	21	31	43	53	65	75	89	131	239	417	NA	18-365-01350-GER2106714	70
120	94	25	75	842	130.658849	46.802707	31087	FR	11	19	29	41	51	61	71	85	133	239	419	NA	18-365-01350-GER2106714	75
122	94	25	80	842	133.112666	46.515138	29752	FR	9	19	29	39	51	59	69	81	137	235	419	NA	18-365-01350-GER2106714	80
125	94	24	85	842	136.114498	45.762209	28038	FR	11	19	29	39	49	57	67	79	145	237	423	NA	18-365-01350-GER2106714	85
128	94	22	90	842	138.800161	44.360805	26362	FR	9	19	29	37	45	55	65	75	153	237	427	NA	18-365-01350-GER2106714	90
131	95	21	95	842	142.116162	43.683843	24546	FR	9	19	27	37	43	53	63	73	159	243	431	NA	18-365-01350-GER2106714	95
26	26	2	19	94	27.116788	3.81354	276	FR	1	1	3	3	5	5	5	11	17	21	27	NA	18-365-02699-GER2106679	0
